03311710140001500    06000004590036000060012000039210
03311710240001500    06000004590036000060012000039210
03311710340001500    06000004590036000060012000039210
03311710540001500    06000004590036000060012000039210
03311710640001500    06000004590036000060012000039210
03311710812002200    02640002019015840026405280017253
03241710140001500    06000004590036000060012000039210
0324171024O001500    08250006311049500082516500053914
03241710340001500    06000004590036000060012000039210
03241710540501500    06075004647036450060712150039701
03241710640001500    06000004590036000060012000039210
03241710718001000    01800001377010800018003600011763
03171710140001500    06000004590036000060012000039210
03171710240001500    06000004590036000060012000039210
03171710340001500    06000004590036000060012000039210
03171710540001500    06000004590036000060012000039210
03171710640001500    06000004590036000060012000039210
03171711020001500    03000002295018000030006000019605
03101710140001500    06000004590036000060012000039210
03101710240001500    06000004590036000060012000039210
03101710340001500    06000004590036000060012000039210
03101710540001500    06000004590036000060012000039210
03101710640001B00    04800003672028800048009600031368
03101711506002900    01740001331010440017403480011371
03031710140001600    06400004896038400064012800041824
03031710240001600    06400004896038400064012800041824
03031710340001600    06400004896038400064012800041824
030317105400016O0    07000005355042000070014000045745
03031710640001600    06400004896038400064012800041824
