                                                            PAYROLL REPORT
                                                                  BY
                                                             NIKOLINA BEST
                                                            AS OF 04/29/18
                     PAYDATE    EMP. NUM HOURS WORKED  HOURLY RATE BASE PAY  OVERTIME   GROSS    DEDUCT     NET
                     03/31/17    101          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/31/17    102          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/31/17    103          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/31/17    105          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/31/17    106          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/31/17    108          12          $2.00    $264.00     $0.00   $264.00    $91.47   $172.53
                     03/24/17    101          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/24/17    102          55          $5.00    $825.00     $0.00   $825.00   $285.86   $539.14
                     03/24/17    103          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/24/17    105          40          $5.00    $607.50     $0.00   $607.50   $210.49   $397.01
                     03/24/17    106          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/24/17    107          18                   $180.00     $0.00   $180.00    $62.37   $117.63
                     03/17/17    101          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/17/17    102          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/17/17    103          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/17/17    105          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/17/17    106          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/17/17    110          20          $5.00    $300.00     $0.00   $300.00   $103.95   $196.05
                     03/10/17    101          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/10/17    102          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/10/17    103          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/10/17    105          40          $5.00    $600.00     $0.00   $600.00   $207.90   $392.10
                     03/10/17    106          40          $2.00    $480.00     $0.00   $480.00   $166.32   $313.68
                     03/10/17    115          06          $9.00    $174.00     $0.00   $174.00    $60.29   $113.71
                     03/03/17    101          40          $6.00    $640.00     $0.00   $640.00   $221.76   $418.24
                     03/03/17    102          40          $6.00    $640.00     $0.00   $640.00   $221.76   $418.24
                     03/03/17    103          40          $6.00    $640.00     $0.00   $640.00   $221.76   $418.24
                     03/03/17    105          40          $6.?0    $700.00     $0.00   $700.00   $242.55   $457.45
                     03/03/17    106          40          $6.00    $640.00     $0.00   $640.00   $221.76   $418.24
                     ---------------------------------------------------------------------------------------------
                     03/03/17 TOTALS        1071                                     $16290.50  $5644.64 $10645.86
